Select,XPath,Examples
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:country,"Indonesia
England
France"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:state,"Maryland
Estado de México
Dorset"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:associatedLanguage/madsrdf:Language/rdfs:label,"Veps
kurdish
Seychellois French Creole"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:deathDate/skos:Concept/rdfs:label,"1975
(edtf) 1970-08-01
(edtf) 2009-02-28"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:gender/skos:Concept/rdfs:label,male
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:deathPlace/madsrdf:Geographic/rdfs:label,"Greenville, S.C.
Paris, France
Portland, Or."
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Person/madsrdf:entityDescriptor/skos:Concept/rdfs:label,"Saint
Christians
Genovese"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/rdf:type,"http://www.loc.gov/mads/rdf/v1#RWO
http://xmlns.com/foaf/0.1/Organization"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:associatedLocale/madsrdf:Geographic/rdfs:label,"Middlebury, Vt.
Vladikavkaz (Russia)
Japan"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:organization/madsrdf:Organization/rdfs:label,"University of Chicago. Law School. If/When/How:
                                            Lawyering for Reproductive Justice
(naf) Highlights for Children, Inc.
Cadets de l'Académie"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:city,"Amman
Price
New Delhi"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:country,"Jordan
Italy
India"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:state,"Utah
Assam
New York (State)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:fieldOfActivity/skos:Concept/rdfs:label,"(lcsh) Africa--Study and teaching
(lcsh) Food security--Ethiopia
(lcsh) Ethiopia--Social policy"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:entityDescriptor/skos:Concept/rdfs:label,"Business enterprises
Programme
Research network"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Organization/madsrdf:birthPlace/madsrdf:Geographic/rdfs:label,"Malang (Indonesia)
Urussanga (Santa Catarina, Brazil)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/rdf:type,http://www.loc.gov/mads/rdf/v1#RWO
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:associatedLocale/madsrdf:Geographic/rdfs:label,"Kraków (Poland)
Seaside, Calif.
Warwick, England"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:organization/madsrdf:Organization/rdfs:label,"Villa Monastero
Movimento Democrático Português
Native Industrial Art Committee (Simla,
                                            India)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:city,London
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:country,United States
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:state,D.C.
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:entityDescriptor/skos:Concept/rdfs:label,"Congresses and conventions
Conference
Seminar"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:fieldOfActivity/skos:Concept/rdfs:label,"(lcsh) Materials Science
(lcsh) Arts--Mongolia
(fast) Employee rights"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Meeting/madsrdf:birthPlace/madsrdf:Geographic/rdfs:label,"Singapore
Ulaanbaatar (Mongolia)
Baltimore (Md.)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/rdf:type,http://www.loc.gov/standards/mads/rdf/v1#Geographic
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:associatedLocale/madsrdf:Geographic/rdfs:label,"Ukraine
United States
Fairfax County (Va.)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:entityDescriptor/skos:Concept/rdfs:label,"Cities and towns
Military bases
City"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:city,"International Falls
Aroland
Shawnee"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:state,"MN
Ontario
Okla."
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:hasAffiliationAddress/madsrdf:Address/madsrdf:country,Canada
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:hasAffiliation/madsrdf:Affiliation/madsrdf:organization/madsrdf:Organization/rdfs:label,"Matawa First Nations Management
Federal and Provincial Governments
Northwest Professional Service Corp."
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/madsrdf:RWO/madsrdf:fieldOfActivity/skos:Concept/rdfs:label,Politics and government
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Family/rdf:type,"http://www.loc.gov/mads/rdf/v1#RWO
http://xmlns.com/foaf/0.1/Group"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Family/madsrdf:associatedLocale/madsrdf:Geographic/rdfs:label,Cumberland County (Va.)
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Family/madsrdf:entityDescriptor/skos:Concept/rdfs:label,"Family
Enslavers"
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Family/madsrdf:birthPlace/madsrdf:Geographic/rdfs:label,Durham (N.C.)
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Family/madsrdf:birthDate,1842-04-13
T,/rdf:RDF/madsrdf:Authority/madsrdf:identifiesRWO/bf:Family/madsrdf:deathDate,1922-07-22
T,/rdf:RDF/madsrdf:Authority/madsrdf:creationDateStart/skos:Concept/rdfs:label,"2013
20131002
(edtf) 1953"
T,/rdf:RDF/madsrdf:Authority/madsrdf:workOrigin/madsrdf:Geographic/rdfs:label,"London (England)
(lcsh) Saint Petersburg (Russia)
(lcsh) Moscow (Russia)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:PersonalName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:PersonalName/madsrdf:variantLabel,"Hall, Kenneth, 1941-
López, Abelino Beltrán
中村麟子, 1916-2009"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:NameTitle/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:NameTitle/madsrdf:componentList/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:NameTitle/madsrdf:componentList/madsrdf:CorporateName/madsrdf:variantLabel,"United States.
Društvo hrvatskih književnika."
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:NameTitle/madsrdf:variantLabel,"United States. Act to Support Revitalization
                                            and Reform of the Organization of American States, and
                                            for Other Purposes
United States. Public Law 113-41
Hernández, Miguel, 1910-1942. Unceasing
                                            lightning"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:Geographic/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:Geographic/madsrdf:variantLabel,"Dogo (Gabon)
Weimar/Lahn (Germany)
Kasagake-mura (Japan)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:Title/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:Title/madsrdf:variantLabel,"Main rouge (Motion picture)
Empreinte ou La main rouge (Motion picture)
Incriminating evidence (Motion picture)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:CorporateName/madsrdf:variantLabel,"Universidade Positivo. Mestrado Profissional em
                                            Odontologia Clínica
Universidade Positivo. Pós-Graduação em
                                            Odontologia
Young Men's Christian Association (Middlebury
                                            College)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:ConferenceName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:ConferenceName/madsrdf:variantLabel,"إنتاج الثقافي العماني والترجمة (Conference)
                                            (2016 : Muscat, Oman)
Symposium in Economics, Nobel
Workshop on Structural Biology and Functional
                                            Genomics, NATO Advanced Research"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasVariant/madsrdf:FamilyName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:classification/ns2:ClassNumber/madsrdf:code,"PG5438.S64
PQ8098.14.I12
PS8609.D848"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:authoritativeLabel,"Voss, Richard
Church of the Province of South Africa. Diocese
                                            of Kaffraria (1901-1922 : Williams)
Huang, Shan"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasSource/madsrdf:Source/madsrdf:citationNote,"t.p. (new photography and radiographic overlays
                                            by Jim Winters)
v. 1, t.p. (Im Yu-jin)
1:226 (ابن الهائم؛ أحمد بن محمد بن عماد الدين
                                            بن علي، أبو العباس، شهاب الدين، ابن الهائم؛
                                            753-815/1352-1412؛ من تصانفه ... التحفة القدسية في
                                            اختصار الرحبية ... = Ibn al-Hāʼim; Aḥmad ibn Muḥammad
                                            ibn ʻImād al-Dīn ibn ʻAlī, Abū al-ʻAbbās, Shihāb al-Dīn,
                                            Ibn al-Hāʼim; 753-815/1352-1412; min taṣānifihi ...
                                            al-Tuḥfah al-Qudsīyah fī ikhtiṣār al-Raḥbīyah ...)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasSource/madsrdf:Source/madsrdf:citationSource,"Bontrager, Kenneth L. Textbook of radiographic
                                            positioning and related anatomy, c2010 :
Hanʼgugin ŭi yumŏ, 1998- :
Ziriklī"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:PersonalName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:CorporateName/madsrdf:variantLabel,"Québec (Province). Agriculture, Ministère de
                                            l'
Trinitarios Descalzos
Pace University. Lubin School of Business"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasLaterEstablishedForm/madsrdf:Authority/rdf:type,http://www.loc.gov/mads/rdf/v1#CorporateName
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasLaterEstablishedForm/madsrdf:Authority/madsrdf:authoritativeLabel,"Québec (Province). Département de l'agriculture
                                            et de l'alimentation"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/madsrdf:variantLabel,Lubin Schools of Business
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Geographic/rdf:type,http://www.loc.gov/mads/rdf/v1#Authority
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Geographic/madsrdf:authoritativeLabel,"Ahmadnagar (India : District)
Hakodate-shi (Japan)
Rome (Italy)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Organization/rdf:type,"http://www.loc.gov/mads/rdf/v1#Authority
http://www.loc.gov/mads/rdf/v1#CorporateName"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Organization/madsrdf:authoritativeLabel,"United Kingdom Atomic Energy Authority
Bucknell University
Freemasons"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasReciprocalAuthority/madsrdf:Organization/madsrdf:identifiesRWO,http://id.loc.gov/rwo/agents/no94004246
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:NameTitle/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:NameTitle/madsrdf:variantLabel,"Guillaume, de Machaut, ca. 1300-1377. Fons
                                            tocius/O livoris/Fera pessima
Byrd, William, 1539 or 40-1623. Gradualia,
                                            liber 1. Gaude Maria
Griebling, Stephen T. Sonatas, violoncello,
                                            piano"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/madsrdf:variantLabel,"Society for Clinical Ecology (U.S.)
Bulgaria. Arkhiven otdel
Ti i chi hsieh kung yeh pu Shang-hai tsʻai liao
                                            yen chiu so"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:Title/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:Title/madsrdf:variantLabel,"ORACLS (Computer program)
Technical report (Saskatchewan. Dept. of
                                            Highways and Transportation)
Bible. N.T. Ghale. 1992"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:PersonalName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:PersonalName/madsrdf:variantLabel,"Megee, Mary Catherine
Akbarī, Ṣiddīqah, 1979 or 80-
Abū Ṭālib, Muḥsin ibn al-Ḥasan, 18th cent."
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:Geographic/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:Geographic/madsrdf:variantLabel,"Kasakake-mura, Japan
Roannais, France
Greater Accra Region, Ghana"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:ConferenceName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:ConferenceName/madsrdf:variantLabel,"International Symposium on the Harmonization of
                                            Internal Quality Assurance Schemes for Analytical
                                            Laboratories
Mezhdunarodnai︠a︡ letni︠a︡i︠a︡ varnenskai︠a︡
                                            shkola marksistsko-leninskoĭ filosofii.
Symposium on the Age of Parent Materials and
                                            Soils, Amsterdam, 1970"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/rdf:type,"http://www.loc.gov/mads/rdf/v1#PersonalName
http://www.loc.gov/mads/rdf/v1#CorporateName"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:authoritativeLabel,"Higgins, Eddie, 1932-2009
Scott, Shannon (Actress)
University of Otago. Centre for the Study of
                                            Agriculture, Food and Environment"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasSource/madsrdf:Source/madsrdf:citationNote,"(Joe Barrett; actor/audiobook narrator; J.D.,
                                            New York Law School (2005); B.A. English and Drama,
                                            University of Rochester (1972); RL Thomas High School,
                                            Webster, New York (1968); professional actor since
                                            around 1975; practicing attorney March 2005-September
                                            2009; primary professional focus is on narrating
                                            audiobooks; lives in Danbury, Conn.)
label (Joe Barrett, reader)
insert (Joe Barrett)"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasSource/madsrdf:Source/madsrdf:citationSource,"Facebook, 28 December 2012
The bone house, 2011:
Solly, B. Boy meets boy [SR] 1994?, p1978:"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:componentList/madsrdf:Authority/rdf:type,"http://www.loc.gov/mads/rdf/v1#PersonalName
http://www.loc.gov/mads/rdf/v1#Title"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/madsrdf:variantLabel,"Gothenburg, Sweden. Chalmers tekniska
                                            högskola
Tulsa, Okla. University.
Bologna. Università"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:PersonalName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasEarlierEstablishedForm/madsrdf:PersonalName/madsrdf:variantLabel,"Roche, Paul, 1927-"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:CorporateName/madsrdf:variantLabel,"Göteborg (Sweden). Chalmers tekniska
                                            högskola
C.T.H.
CTH"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:PersonalName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:PersonalName/madsrdf:variantLabel,"林南山
Corrich, Johannes, 1457?-1527
Corysius, Janus, 1457?-1527"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:Title/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:Title/madsrdf:variantLabel,"ScriptaAntiqua
Ausonius publications. Scripta antiqua
SA (Series : Ausonius (Institute))"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:NameTitle/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasVariant/madsrdf:NameTitle/madsrdf:variantLabel,"Ausonius (Institute). Scripta antiqua
Dreiser, Theodore, 1871-1945. Titán
Willis, Connie. Sidon en el espejo"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:classification/ns2:ClassNumber/madsrdf:code,"PA8485.C7715
ML410.H3
ML419.M79"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/rdf:type,"http://www.loc.gov/mads/rdf/v1#CorporateName
http://www.loc.gov/mads/rdf/v1#NameTitle
http://www.loc.gov/mads/rdf/v1#PersonalName"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:authoritativeLabel,"Graduate Women Waikato
Dreiser, Theodore, 1871-1945. Trilogy of
                                            desire. Spanish (Martín Pinto)
Dreiser, Theodore, 1871-1945."
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:note,"[A group of paper-machine tenders in Holyoke,
                                            Massachusetts formed Eagle Lodge as a social club. May
                                            19, 1893, the American Federation of Labor issued a
                                            charter for the United Brotherhood of Paper Makers. Only
                                            paper machine tenders and beater engineers were
                                            included. In 1897, the organization asked AFL to widen
                                            their group to everyone in the papermaking trade.
                                            However, the paper machine tenders kept the new groups
                                            in separate lodges and did not allow them to vote. The
                                            name was changed in 1902 to the International
                                            Brotherhood of Paper Makers. At this time the federal
                                            labor unions for mechanics, firemen, pulp workers and
                                            laborers petitioned AFL for their own charter but it was
                                            denied. In 1903 these groups were transferred without
                                            their consent to the International Brotherhoood of Paper
                                            Makers. There was a period of unrest and in 1906 the
                                            pulp and paper mill workers established a separate
                                            group, the International Brotherhood of Pulp, Sulphite,
                                            and Paper Mill Workers. This group was not recognized by
                                            the AFL until 1909.] Information taken from Gross, James
                                            A., (1964). The Making and Shaping of Unionism in the
                                            Pulp and Paper Industry, Labor History, vol. 5, issue
                                            2"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:creationDateStart/skos:Concept/rdfs:label,"(edtf) 1999
(edtf) 2007
(edtf) 1566"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:hasCharacteristic/skos:Concept/rdfs:label,"Brafman
Martín Pinto
Zsámboki"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Authority/madsrdf:workOrigin/madsrdf:Geographic/rdfs:label,(naf) Raʻananah (Israel)
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Organization/madsrdf:authoritativeLabel,"Universität zu Köln
Franklin and Marshall College
Catholic University of America"
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Organization/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/rdf:type,http://www.loc.gov/mads/rdf/v1#Variant
T,/rdf:RDF/madsrdf:Authority/madsrdf:hasRelatedAuthority/madsrdf:Organization/madsrdf:hasEarlierEstablishedForm/madsrdf:CorporateName/madsrdf:variantLabel,North Dakota. University.
